x,log3(x)
-10.0,nan
-9.798,nan
-9.596,nan
-9.394,nan
-9.192,nan
-8.99,nan
-8.788,nan
-8.586,nan
-8.384,nan
-8.182,nan
-7.98,nan
-7.778,nan
-7.576,nan
-7.374,nan
-7.172,nan
-6.97,nan
-6.768,nan
-6.566,nan
-6.364,nan
-6.162,nan
-5.96,nan
-5.758,nan
-5.556,nan
-5.354,nan
-5.152,nan
-4.949,nan
-4.747,nan
-4.545,nan
-4.343,nan
-4.141,nan
-3.939,nan
-3.737,nan
-3.535,nan
-3.333,nan
-3.131,nan
-2.929,nan
-2.727,nan
-2.525,nan
-2.323,nan
-2.121,nan
-1.919,nan
-1.717,nan
-1.515,nan
-1.313,nan
-1.111,nan
-0.909,nan
-0.707,nan
-0.505,nan
-0.303,nan
-0.101,nan
0.101,-2.0868460928289156
0.303,-1.0868460928289156
0.505,-0.6218725721109885
0.707,-0.3156023436674935
0.909,-0.08684609282891569
1.111,0.09581224581522234
1.313,0.2478714266438769
1.515,0.3781274278890113
1.717,0.49205583033365013
1.919,0.5932977664174596
2.121,0.6843976563325065
2.323,0.7672037373713553
2.525,0.8431009486069385
2.727,0.913153907171084
2.929,0.9781986592817468
3.131,1.038903764428099
3.333,1.0958122458152222
3.535,1.1493711770504336
3.737,1.199953035389357
3.939,1.247871426643877
4.141,1.2933928731910393
4.343,1.3367457916687637
4.545,1.3781274278890112
4.747,1.4177092825508206
4.949,1.4556414054939286
5.152,1.4922325243508265
5.354,1.5272393749866715
5.556,1.5609496112328316
5.758,1.5934558626795379
5.96,1.62484117417016
6.162,1.6551802841919734
6.364,1.6845406969907135
6.566,1.712983587104152
6.768,1.7405645667974123
6.97,1.7673343406037518
7.172,1.793339266331544
7.374,1.8186218381319559
7.576,1.8432211042703202
7.778,1.867173029914334
7.98,1.8905108134004855
8.182,1.9132651629588686
8.384,1.9354645396844345
8.586,1.957135371577773
8.788,1.978302242693139
8.99,1.9989880607889083
9.192,2.0192142063473786
9.394,2.039000665394457
9.596,2.0583661481876976
9.798,2.077328195539444
10.0,2.095903274289385
